Tue May 30 15:33:59 2017    log_profile.txt

         54517750 function calls (54291806 primitive calls) in 33.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.080    0.080 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/figure.py:924(add_subplot)
        1    0.000    0.000    0.079    0.079 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_subplots.py:23(__init__)
        1    0.000    0.000    0.079    0.079 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:406(__init__)
        1    0.000    0.000    0.078    0.078 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/colorbar.py:20(<module>)
   220000    0.058    0.000    0.073    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:13(__len__)
       37    0.000    0.000    0.072    0.002 <frozen importlib._bootstrap_external>:903(create_module)
       37    0.070    0.002    0.071    0.002 {built-in method _imp.create_dynamic}
       12    0.000    0.000    0.067    0.006 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:713(cla)
        1    0.000    0.000    0.066    0.066 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/add_newdocs.py:10(<module>)
      252    0.002    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:729(get_code)
    16/12    0.000    0.000    0.065    0.005 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:751(reset_ticks)
        1    0.000    0.000    0.064    0.064 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/lib/__init__.py:1(<module>)
    32/24    0.001    0.000    0.064    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:67(__init__)
1113/1058    0.021    0.000    0.063    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.054    0.054 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/lib/type_check.py:3(<module>)
        1    0.000    0.000    0.053    0.053 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/__init__.py:1(<module>)
        1    0.000    0.000    0.050    0.050 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:900(cla)
        1    0.000    0.000    0.046    0.046 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/collections.py:10(<module>)
      251    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      251    0.044    0.000    0.044    0.000 {built-in method marshal.loads}
       96    0.003    0.000    0.043    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/lines.py:252(__init__)
    40000    0.031    0.000    0.042    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:50(__init__)
        1    0.000    0.000    0.041    0.041 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/figure.py:12(<module>)
   149903    0.041    0.000    0.041    0.000 {built-in method builtins.max}
      302    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap>:879(_find_spec)
       11    0.000    0.000    0.037    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/externals/six.py:89(__get__)
        9    0.000    0.000    0.037    0.004 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/externals/six.py:157(_resolve)
       11    0.000    0.000    0.037    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/externals/six.py:78(_import_module)
   150613    0.036    0.000    0.036    0.000 {built-in method builtins.min}
   510032    0.036    0.000    0.036    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.036    0.036 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backend_bases.py:33(<module>)
        1    0.000    0.000    0.035    0.035 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/__init__.py:1(<module>)
        1    0.000    0.000    0.035    0.035 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_subplots.py:1(<module>)
        1    0.000    0.000    0.035    0.035 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/urllib/request.py:68(<module>)
      297    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
      297    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/__init__.py:18(pylab_setup)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:579(gcf)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:428(figure)
