Tue May 30 15:47:07 2017    log_profile.txt

         49575723 function calls (49349779 primitive calls) in 32.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   220000    0.058    0.000    0.075    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:13(__len__)
       37    0.000    0.000    0.074    0.002 <frozen importlib._bootstrap_external>:903(create_module)
       37    0.073    0.002    0.074    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.072    0.072 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/add_newdocs.py:10(<module>)
        1    0.000    0.000    0.070    0.070 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/lib/__init__.py:1(<module>)
      252    0.002    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:729(get_code)
1113/1058    0.024    0.000    0.066    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.065    0.065 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/figure.py:1317(gca)
        1    0.000    0.000    0.065    0.065 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/figure.py:924(add_subplot)
        1    0.000    0.000    0.065    0.065 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_subplots.py:23(__init__)
        1    0.000    0.000    0.065    0.065 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:406(__init__)
        1    0.000    0.000    0.059    0.059 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/lib/type_check.py:3(<module>)
        1    0.000    0.000    0.058    0.058 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/__init__.py:1(<module>)
       12    0.000    0.000    0.056    0.005 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:713(cla)
    16/12    0.000    0.000    0.055    0.005 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:751(reset_ticks)
    32/24    0.001    0.000    0.054    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:67(__init__)
        1    0.000    0.000    0.048    0.048 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/collections.py:10(<module>)
      251    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      251    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
    40000    0.033    0.000    0.044    0.000 /Users/karo/Documents/Github/Pokerly/Player.py:50(__init__)
   152108    0.041    0.000    0.041    0.000 {built-in method builtins.max}
      302    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        1    0.000    0.000    0.040    0.040 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/figure.py:12(<module>)
       11    0.000    0.000    0.038    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/externals/six.py:89(__get__)
        9    0.000    0.000    0.038    0.004 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/externals/six.py:157(_resolve)
       11    0.000    0.000    0.038    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/externals/six.py:78(_import_module)
        1    0.000    0.000    0.037    0.037 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backend_bases.py:33(<module>)
        1    0.000    0.000    0.037    0.037 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:900(cla)
       96    0.003    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/lines.py:252(__init__)
      297    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
        1    0.000    0.000    0.036    0.036 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/urllib/request.py:68(<module>)
      297    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
   152818    0.036    0.000    0.036    0.000 {built-in method builtins.min}
   510032    0.036    0.000    0.036    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.035    0.035 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/__init__.py:1(<module>)
        1    0.000    0.000    0.035    0.035 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_subplots.py:1(<module>)
        1    0.000    0.000    0.034    0.034 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:579(gcf)
        1    0.000    0.000    0.034    0.034 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/pyplot.py:428(figure)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:253(new_figure_manager)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/__init__.py:18(pylab_setup)
        1    0.001    0.001    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:262(new_figure_manager_given_figure)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:1(<module>)
        1    0.013    0.013    0.031    0.031 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:380(__init__)
        1    0.000    0.000    0.030    0.030 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/rcsetup.py:15(<module>)
      686    0.007    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
    16/12    0.000    0.000    0.028    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:1997(_get_tick)
       11    0.000    0.000    0.027    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1476(kwdoc)
        4    0.000    0.000    0.027    0.007 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:166(cla)
    16/12    0.000    0.000    0.027    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:1672(_get_tick)
        1    0.000    0.000    0.026    0.026 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_axes.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/http/client.py:69(<module>)
      508    0.001    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/re.py:278(_compile)
      103    0.000    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/re.py:222(compile)
        1    0.000    0.000    0.026    0.026 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.026    0.026 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:559(_init_axis)
       96    0.001    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_compile.py:531(compile)
      384    0.002    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:184(_recache)
       11    0.001    0.000    0.023    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1186(pprint_setters)
        1    0.000    0.000    0.022    0.022 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:61(<module>)
    10000    0.009    0.000    0.020    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:9(__init__)
   110024    0.020    0.000    0.020    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/testing/__init__.py:7(<module>)
       22    0.000    0.000    0.018    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:1093(rc_params_from_file)
        1    0.000    0.000    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:406(__init__)
       11    0.003    0.000    0.018    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1103(_get_setters_and_targets)
        1    0.000    0.000    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backend_bases.py:2727(__init__)
        1    0.018    0.018    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:409(_init_toolbar)
        1    0.000    0.000    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/textpath.py:3(<module>)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/widgets.py:10(<module>)
     1036    0.002    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:874(__setitem__)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/__init__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1(<module>)
